z,t,T,fs,fl,x,y,w,rhob,p
0.0,505.28,595.14,0.0,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.012023,505.28,595.14,5.188132514557259e-06,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.014119,505.28,595.14,6.09259277826116e-06,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.033191,505.28,601.1019041853739,1.4322490750284453e-05,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.073588,544.5806929181224,613.73,3.175449517435245e-05,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.076414,547.33,614.2415422184988,3.297396306806773e-05,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.088468,550.949352896915,616.423470704622,3.817547261896794e-05,0.0,0.243384,0.17434,0.04055,1267.6,14771.0
0.09307,552.3311566161453,617.2564916846402,4.016131523994378e-05,0.0,0.243384,0.1743313490371894,0.04055,1267.6,14771.0
0.098347,553.9156368913254,618.2116963155737,4.24384320393548e-05,0.0,0.243384,0.174321429191307,0.0405504284931284,1267.6,14771.0
0.13659,565.3985398975241,625.134169444395,5.8940948196238535e-05,0.0,0.2435104100421544,0.1742495389760173,0.0405535338300075,1267.6,14771.0
0.18579,580.171408864524,634.04,8.017159942440265e-05,0.0,0.2436730378191069,0.1741570514987731,0.040557528876799,1267.6,14845.347675625793
0.18805,580.85,634.3104363163758,8.114682852553377e-05,0.0,0.2436805081194303,0.1741528030902656,0.040557712389111,1267.6,14848.762833083401
0.27252,595.74,644.4182927961381,0.0001175970949735,0.0,0.243959718857625,0.1739940141227286,0.0405645713647713,1267.6,14976.40812089053
0.29351,599.0920648024855,646.93,0.0001266546431296,0.0,0.2440291000982395,0.173954556558758,0.0405662757556687,1267.6,15008.126773560965
0.38517,613.73,657.5160315724731,0.0001662075189746,0.0,0.2443320769688791,0.1737822516367213,0.0405737185603215,1267.6,15146.637097704464
0.43984,622.6283500557413,663.83,0.0001897985698413,0.0,0.2445127855169685,0.1736794815070274,0.0405781577718682,1267.6,15229.250663282965
0.48335,629.7102452619844,668.1992265030385,0.0002085738876246,0.0,0.2446566053254076,0.173597690244123,0.0405816907898743,1267.6,15295.0
0.48384,629.79,668.2484317658859,0.0002087853311023,0.0,0.2446582249922919,0.1735967691290041,0.0405817305779419,1267.6,15295.697343453512
0.56822,646.81,676.7217788660098,0.0002451967609932,0.0,0.2449371382406507,0.1734381493458768,0.0405885822455898,1267.6,15415.782732447818
0.60933,651.976976551887,680.85,0.0002629364372531,0.0,0.2450730249867994,0.1733608696672282,0.0405919203832646,1267.6,15474.28842504744
0.73626,667.9303780048432,697.87,0.000317708928318,0.0,0.2454925848186812,0.1731222632548988,0.0406022271167861,1267.6,15654.928842504745
0.73753,668.09,697.9975794524859,0.0003182569552908,0.0,0.2454967827308099,0.1731198758748968,0.0406023302409614,1267.6,15656.73624288425
0.79598,673.9575320588467,703.8692479546885,0.0003434791415567,0.0,0.2456899858520065,0.17301,0.0406070763890298,1267.6,15739.91935483871
0.85225,679.6062237432145,709.5219218061674,0.0003677606201057,0.0,0.2458759831082894,0.1727789671536738,0.0406116455207973,1267.6,15820.0
0.86338,680.723514278971,710.64,0.0003725634076701,0.0,0.245912772684661,0.1727332697024634,0.0406125492783337,1267.6,15835.50065116279
0.86464,680.85,710.7875624517126,0.0003731071194699,0.0,0.2459169375423635,0.1727280964061,0.0406126515905077,1267.6,15837.255441860465
0.89945,684.7860622342938,714.8642679629153,0.0003881282367311,0.0,0.246032,0.172585173829583,0.0406154781673128,1267.6,15885.735016611296
1.0187,698.2699870099196,728.83,0.0004395866749213,0.0,0.2466336426301638,0.1720955582809,0.0406251612837741,1267.6,16051.81342192691
1.034,700.0,729.9020822281168,0.0004461888896325,0.0,0.2467108345147886,0.1720327396822011,0.0406264036458862,1267.6,16073.121594684382
1.07829,704.4472908554573,733.0055150309461,0.0004653007909109,0.0,0.246934287362503,0.1718508942092353,0.04063,1267.6,16134.803880398671
1.0892,705.542796460177,733.7699867374006,0.000470008644669,0.0,0.2469893307259839,0.1718061000319931,0.0406319006085663,1267.6,16149.998139534884
1.2035,717.02,741.7790716180372,0.0005193310722173,0.0,0.247565999511122,0.1713368081475951,0.0406518125754901,1267.3607314370151,16309.18272425249
1.2285,718.8525054330953,743.5308399646331,0.000530119004752,0.0,0.2476921300415546,0.1712341633784792,0.0406561677738548,1267.3083979805442,16344.0
1.2449,720.0546289972058,744.68,0.0005371958884947,0.0,0.2477748716695184,0.1711668284099392,0.0406590247839821,1267.2740672330992,16367.817427385891
1.3586,728.3888637069233,753.2359752504419,0.0005862594056622,0.0,0.2483485133219262,0.1707,0.0406788322261451,1267.03605467307,16532.941908713696
1.4146,732.4936758770568,757.45,0.0006104243745398,0.0,0.2486310457100953,0.1704405119152691,0.0406885878704822,1266.918827730575,16614.26970954357
1.4941,738.3210431542999,761.1291350792557,0.00064473,0.0,0.2490321407968712,0.1700721315092674,0.0407024374012821,1266.7524073389975,16729.726141078838
1.5131,739.7137472834523,762.0084252239835,0.0009319020194239,0.0,0.249128,0.1699840909090909,0.0407057473520393,1266.7126339120798,16757.31950207469
1.5256,740.63,762.5869055823571,0.0011208309795713,0.0,0.2491962382133995,0.1699261694616063,0.0407079249512217,1266.6864671838443,16775.473029045643
1.59,745.0064788732394,765.5672363886974,0.0020941929822505,0.0,0.2495478014888337,0.1696277581641659,0.0407191439422094,1266.5516561999757,16869.0
1.7048,752.808028169014,770.88,0.0038293165522438,0.0,0.2501745012406948,0.1690958075904677,0.0407391430131004,1266.311340967861,17014.583736689256
1.8118,760.0795070422536,775.0297996995494,0.0054465484511051,0.0,0.2507586203473945,0.1686,0.0407577832621016,1266.087353774166,17150.275895450148
1.838,761.86,776.0459188783175,0.005842543551574,0.0,0.2509016476426799,0.1684451605709188,0.0407623475099879,1266.0325083117843,17183.501452081317
1.9013,765.4120634121791,778.5008938407611,0.0067992798057602,0.0,0.251247205955335,0.1680710637823372,0.0407733748722475,1265.9,17263.775411423037
1.93933,767.5461071967791,779.9758179769655,0.0073740772741125,0.0,0.2514548138957816,0.1678463102140945,0.04078,1265.8434544853792,17312.003194578898
2.0032,771.1301560140917,782.4528993490235,0.0083394286888814,0.0,0.2518034838709677,0.1674688447814451,0.04078,1265.748488352883,17393.0
2.0773,775.2882586814293,785.3267325988984,0.0094593995646349,0.0,0.252208,0.1670309210526315,0.04078,1265.6383115810345,17478.051377350243
2.0913,776.0738651233014,785.8696970455684,0.009671,0.0,0.2523328240262787,0.166948182426405,0.04078,1265.6174954567985,17494.12046348929
2.1042,776.7977453447409,786.37,0.0099433422735069,0.0,0.2524478404504927,0.166871944692239,0.04078,1265.598314885181,17508.926978574553
2.2354,784.16,791.7922437841115,0.0127132109777015,0.0,0.253617619896762,0.1660965655664585,0.04078,1265.40323806377,17659.517271534758
2.2602,785.1081551263934,792.8171801091571,0.0132367837205676,0.0,0.253838736743313,0.16595,0.04078,1265.3663637865525,17687.982509838217
2.434,791.7528874234573,800.0,0.0169060152814595,0.0,0.2553883378695448,0.1642623989455184,0.04078,1265.1079464728234,17887.468736335813
2.4606,792.7698602606374,800.5871867219917,0.0174675892717916,0.0,0.2556255035194744,0.1640041124780316,0.04078,1265.0683958367752,17918.0
2.5035,794.410015701052,801.5341908713693,0.0183732856697333,0.0,0.256008,0.1635875527240773,0.04078,1265.004609284652,17961.81233933162
2.5066,794.5285350918512,801.6026224066391,0.0184387322625916,0.0,0.2560370503144654,0.1635574516695958,0.04078,1265.0,17964.97826594999
2.62465,799.0418299576071,804.2085394190872,0.0209309807422423,0.0,0.2571433050314465,0.1624111840949033,0.04078,1264.884082875098,18085.538794110766
2.7154,802.5113895430993,806.2118174273859,0.0228468769686574,0.0,0.2579937295597484,0.16153,0.0407650806196648,1264.7949725058916,18178.21874269689
2.7326,803.1689810017272,806.5915020746888,0.02321,0.0,0.2581549119496855,0.1613773903966597,0.0407622529244388,1264.7780832678711,18195.784529095585
2.8723,808.51,809.675336099585,0.027012207296849,0.0,0.2594640503144654,0.1601378810020876,0.0407392861207714,1264.6409073055777,18338.4554802524
2.8885,808.9405629477993,810.0329460580913,0.0274531218151665,0.0,0.2596158616352201,0.1599941440501043,0.0407366228264306,1264.625,18355.0
2.916,809.6714568406687,810.64,0.0282015878184833,0.0,0.2598735660377358,0.159750146137787,0.0407321018020866,1264.5979968578165,18383.318347248984
3.0158,812.3239372227908,812.8566733067729,0.0309178389868837,0.0,0.2608087987421383,0.158864655532359,0.0407156945937401,1264.5,18486.08820381075
3.0986,814.524592289321,814.6957569721116,0.0331714020805065,0.0,0.2615847232704402,0.15813,0.0407020822004426,1264.160377358491,18571.352172982228
3.1395,815.6116308427158,815.6041932270916,0.0342845751545303,0.0,0.261968,0.1577130803472067,0.0406953582042364,1263.9926168990976,18613.469278527078
3.3556,821.3551279426817,820.4040239043825,0.0401661570933212,0.0,0.2647768523231725,0.1555102359225461,0.040659831172937,1263.1062346185397,18836.0
3.3815,822.0434970999659,820.9792928286852,0.0408710759837177,0.0,0.2651134986682451,0.1552462207878922,0.0406555731900094,1263.0,18860.58149171271
3.3959,822.426219720232,821.2991334661355,0.041263,0.0,0.265300668836934,0.1550994324504785,0.040653205817262,1262.913417721519,18874.24842146804
3.4154,822.9444899351757,821.7322509960159,0.0418662862626816,0.0,0.265554128440367,0.1549006565768974,0.04065,1262.796170886076,18892.755722178368
3.418,823.0135926305015,821.79,0.0419467244310392,0.0,0.265587923054158,0.1548741531270865,0.04065,1262.7805379746835,18895.22336227309
3.4585,824.09,822.4212665958577,0.0431997035919934,0.0,0.2661143391535958,0.1544613109281103,0.04065,1262.5370253164558,18933.661602209944
3.4774,824.4088737864078,822.7158576739246,0.0437844272004387,0.0,0.26636,0.1542686512352548,0.04065,1262.423386075949,18951.599447513807
3.5479,825.5983236245955,823.8147291556028,0.0459655390732108,0.0,0.2672763819095478,0.15355,0.04065,1261.999493670886,19018.510457774268
3.7946,829.7605544768069,827.66,0.0535978837400603,0.0,0.2704830686767169,0.1513585664692669,0.04065,1260.516170886076,19252.651539068665
3.8624,830.9044509169363,828.3377725595437,0.0556954636687688,0.0,0.2713643551088777,0.1507562997753726,0.04065,1260.108512658228,19317.0
3.922,831.91,828.9335726266353,0.0575393539895804,0.0,0.2721390552763819,0.1502268735960792,0.04065,1259.750158227848,19374.70068576039
3.955,832.2072410062212,829.2634619255283,0.0585602999725801,0.0,0.272568,0.149933734939759,0.04065,1259.5517405063292,19406.64905203712
4.0135,832.7341682445226,829.8482656826568,0.0603701587606251,0.0,0.2728328604353393,0.1494140800490096,0.04065,1259.2,19463.28479225494
4.0376,832.9512442520963,830.0891848373029,0.0611157587057855,0.0,0.2729419738796415,0.1492,0.04065,1259.0741364985165,19486.616780960063
4.0927,833.4475466594536,830.64,0.0628204291198245,0.0,0.2731914407170295,0.1488670388349514,0.04065,1258.7863738872404,19539.96087131908
4.1253,833.7411847443873,830.9298535564853,0.063829,0.0,0.27333903815621,0.148670041848008,0.04065,1258.616118694362,19571.52198467124
4.18858,834.3111668920747,831.4924895397489,0.0659827152337858,0.0,0.2736255401792574,0.1482876501506528,0.04065,1258.285635608309,19632.785397337637
4.2917,835.24,832.4093514644351,0.0694923725490195,0.0,0.274092418950064,0.1476645112152661,0.0406513337127189,1257.7470860534124,19732.61920129084
4.3582,835.5354630788486,833.0006171548117,0.0717556794871794,0.0,0.2743934996158771,0.147262661533311,0.0406521937970459,1257.3997863501484,19797.0
4.4751,836.0548560700876,834.04,0.0757343348416289,0.0,0.2749227677336748,0.1465562520924004,0.0406537057347577,1256.7892700296736,19896.484518013636
4.635,836.7653003754693,835.2371423550087,0.0811764819004524,0.0,0.2756467195902689,0.14559,0.0406557738172223,1255.954183976261,20032.56299902629
4.6557,836.8572715894869,835.3921195079085,0.081881,0.0,0.2757404394366197,0.1454619123134328,0.0406560415427196,1255.8460771513353,20050.179162609544
4.736,837.2140488110138,835.9933110720561,0.0841574444723617,0.0,0.276104,0.1449650310945273,0.0406570801107116,1255.426706231454,20118.51626095424
4.7711,837.37,836.2560984182776,0.0851525030150753,0.0,0.2762278678383128,0.1447478389303482,0.0406575340800331,1255.2433946587537,20148.387147030186
4.856,837.6472458410351,836.8917293497364,0.0875593540201004,0.0,0.2765274797891037,0.1442224937810945,0.0406586321425799,1254.8,20220.638948393378
4.8717,837.6985150955022,837.0092724077329,0.0880044371859296,0.0,0.2765828850615114,0.1441253451492537,0.0406588352000827,1254.722015256342,20234.0
4.96176,837.9926112138016,837.6835353251317,0.0905575703015075,0.0,0.2769007066432337,0.1435680708955224,0.04066,1254.2746709242504,20318.071355498723
5.0441,838.2614972273567,838.3,0.0928918472361809,0.0,0.2771912843585237,0.1430585665422885,0.04066,1253.8656732304416,20394.936061381075
5.0537,838.2928465804067,838.3452289316523,0.093164,0.0,0.277225162741652,0.1429991635572139,0.04066,1253.8179882916445,20403.89769820972
5.2782,839.0259642637092,839.4029263437292,0.0988911617037316,0.0,0.2780174228471002,0.14161,0.04066,1252.7028561291468,20613.469309462915
5.305,839.1134812076402,839.5291904445919,0.0995748496042216,0.0,0.278112,0.1415016389891696,0.04066,1252.5697356750045,20638.487212276217
5.3409,839.2307147258164,839.6983278035832,0.1004906852619676,0.0,0.2782596311915159,0.1413564837545126,0.04066,1252.3914138726273,20672.0
5.4197,839.4880406654344,840.0695819508958,0.1025009317753486,0.0,0.2785836796007486,0.1410378700361011,0.04066,1252.0,20742.982896237172
5.4203,839.49,840.0724087591241,0.102516238220882,0.0,0.2785861469744229,0.1410354440433213,0.04066,1251.9979619565215,20743.523375142533
5.4962,840.0159716782164,840.43,0.1044525035808518,0.0,0.2788982697442296,0.1407285559566787,0.04066,1251.7401494565215,20811.89395667047
5.5843,840.6264868936427,841.617258805513,0.1067,0.0,0.2792605624454148,0.1403723393501805,0.04066,1251.4408967391305,20891.254275940704
5.73494,841.6703916842423,843.6473231240428,0.1103187262569832,0.0,0.2798800377292576,0.1397632534296028,0.04066,1250.9292119565218,21026.950513112883
5.8322,842.3443838505574,844.9580245022971,0.1126551396648044,0.0,0.2802799990018715,0.13937,0.0406629651233689,1250.5988451086955,21114.562143671606
5.8671,842.5862338053631,845.4283460949464,0.1134935195530726,0.0,0.2804235179039301,0.1392001240368351,0.0406640291045079,1250.4802989130435,21145.999999999996
6.0085,843.5661072612232,847.333889739663,0.1168902793296089,0.0,0.2810049956331877,0.1385118586731817,0.0406683399048819,1250.0,21232.06325867669
6.0839,844.0886140403736,848.35,0.11870156424581,0.0,0.2813150622582657,0.138144848712648,0.0406706385919271,1249.7253642384103,21277.955547956914
6.0841,844.09,848.3542051756008,0.1187063687150838,0.0,0.2813158847161572,0.1381438752114264,0.0406706446892402,1249.7246357615893,21278.07727816721
6.1065,844.4506560406561,848.8251848428836,0.119244469273743,0.0,0.281408,0.13803484307461,0.0406713275883094,1249.643046357616,21291.71106171995
6.3361,848.1473804573805,853.6527264325324,0.12476,0.0,0.2825171302855359,0.136917263672242,0.0406783273037681,1248.8067549668874,21431.457343135575
6.3643,848.6014206514207,854.2456561922367,0.1253702206386186,0.0,0.2826533562178187,0.13678,0.0406791870249176,1248.7040397350993,21448.6213027868
6.452,850.0134534534534,856.0896256931609,0.127267963546663,0.0,0.2830770092058043,0.1363214283327765,0.0406818606967196,1248.3846026490066,21502.0
6.5167,851.0551697851697,857.45,0.1286680087707277,0.0,0.2833895559369636,0.1359831206147678,0.0406838331775131,1248.148940397351,21545.531334102267
6.517,851.06,857.4555976095618,0.1286745004796491,0.0,0.2833910051490091,0.1359815519545606,0.0406838423234827,1248.1478476821192,21545.73317954633
6.6125,853.2947465131724,859.2375033200532,0.1307410278196519,0.0,0.2838523376501794,0.1354821951219512,0.0406867537904963,1247.8,21609.987312572088
6.71898,855.7864303741421,861.2242815405046,0.1330451517061806,0.0,0.2843667113122172,0.1349254253257601,0.04069,1247.3533394127303,21681.628988850443
6.7474,856.4514722160726,861.754561752988,0.1336601329313416,0.0,0.284504,0.1347768209154694,0.0406854513444302,1247.2341236549337,21700.750480584393
6.9629,861.4942771751163,865.7755112881806,0.1383233438399342,0.0,0.2857072609970674,0.13365,0.0406509603072983,1246.3301477293453,21845.74279123414
6.9685,861.6253199025901,865.88,0.1384445224064684,0.0,0.285738529032258,0.1336181572164948,0.0406500640204865,1246.3066569396317,21849.51057285659
6.9687,861.63,865.8875169470249,0.138448850212416,0.0,0.2857396457478006,0.1336170199742267,0.0406500320102432,1246.305817982856,21849.645136485968
6.9722,861.7035395189004,866.0190635199598,0.1385245868164999,0.0,0.2857591882697947,0.133597118234536,0.0406494718309859,1246.2911362392852,21852.0
7.0658,863.6701963672067,869.5369947275923,0.14055,0.0,0.286281811143695,0.1330648888530927,0.0406344910371318,1245.8985044683568,21929.311475409842
7.1608,865.6662690230731,873.1075445643987,0.1424889508592101,0.0,0.2868122510263929,0.1325246987757732,0.0406192861715749,1245.5,22007.779319041612
7.2813,868.1981296023564,877.6365051468742,0.1449483569490503,0.0,0.2874850721407624,0.1318395103092783,0.0406,1244.966814159292,22107.30958385876
7.3668,869.9945949926363,880.85,0.1466934127223394,0.0,0.2879624680351906,0.1313533392396907,0.040608109357772,1244.5884955752213,22177.930643127365
7.4294,871.3099018163967,883.2352444156685,0.1479710792885137,0.0,0.288312,0.1309973824097938,0.0406140467355092,1244.3115044247788,22229.6368221942
7.448,871.7007118311242,883.9439592101004,0.148350705456738,0.0,0.2884602842287695,0.130891618878866,0.0406158108764982,1244.229203539823,22245.0
7.545,873.7388070692194,887.6399449660084,0.1503304763340368,0.0,0.2892335944540728,0.130340056378866,0.0406250109666022,1243.8,22288.620123203287
7.5798,874.47,888.9659274846229,0.151040744648779,0.0,0.2895110294627383,0.1301421762242268,0.0406283116174849,1243.6130521289294,22304.269404517454
7.5837,874.5942160427808,889.114528973778,0.1511203436840518,0.0,0.2895421213171577,0.13012,0.0406286815180148,1243.592101074413,22306.023203285422
7.6757,877.5244406417113,892.62,0.152998064516129,0.0,0.2902755701906412,0.1294639150032195,0.0406374073766701,1243.0978710704337,22347.394866529772
7.7292,879.2284299465241,894.6053290183387,0.15409,0.0,0.2907020866551126,0.1290823873148744,0.0406424816531708,1242.8104655789891,22371.45338809035
7.935,885.783214973262,902.2423516720604,0.1598842442676649,0.0,0.2923427798960138,0.1276147537025112,0.0406620010195976,1241.7048945483484,22464.0
8.0064,888.0573240641711,904.8919309600864,0.1618944922788956,0.0,0.292912,0.1271055746941403,0.0406687730446844,1241.3213290887384,22509.036327489608
8.0465,889.3345197860963,906.38,0.1630234971143347,0.0,0.293303136436029,0.126819607211848,0.0406725763809027,1241.105909271787,22534.32983914694
8.0473,889.36,906.4134132146526,0.1630460209015754,0.0,0.2933109396566979,0.1268139021249195,0.0406726522579344,1241.101611619578,22534.834447858306
8.0476,889.3747173689619,906.4259431701472,0.1630544673217906,0.0,0.2933138658644488,0.1268117627173213,0.0406726807118214,1241.1,22535.023676125067
8.12477,893.1605152449469,909.6490653885656,0.1652271681484947,0.0,0.2940665840382233,0.1262614357694784,0.04068,1240.714585145803,22583.699493945416
8.2049,897.0915244946899,912.9958165011984,0.1674832069879893,0.0,0.2948481741284728,0.12569,0.0406782461285909,1240.3143869824391,22634.24236399783
8.3386,903.650565262076,918.58,0.171247494930588,0.0,0.2961522873827641,0.1245496556163501,0.0406753197264021,1239.6466408893184,22718.575094885233
8.3392,903.68,918.6167724137932,0.1712643877710185,0.0,0.2961581397982658,0.1245445381396845,0.0406753065937072,1239.643644272595,22718.953551418763
8.3703,905.015299062399,920.5228091954024,0.17214,0.0,0.2964614900017696,0.1242792822658512,0.0406746258823529,1239.488319639117,22738.570215073196
8.4883,910.0817070805044,927.7547172413794,0.1761065342601787,0.0,0.2976124650504336,0.1232728451882845,0.040672043119015,1238.8989850169164,22813.0
